generations:200,popsPerGen:10000,childrenPercentage:50,mutationRate:2.000000,strategyLength:15,SimulationsRun:6
gen_num,avg_fit,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14
20,0.431177,0.588000,0.260300,0.375200,0.324200,0.368800,0.451500,0.538600,0.537100,0.543500,0.620900,0.641600,0.718200,0.719300,0.908000,0.989200
30,0.432265,0.671900,0.252400,0.327500,0.317700,0.369800,0.448200,0.537200,0.538600,0.559400,0.623100,0.659700,0.709700,0.683800,0.926100,0.989500
40,0.431447,0.736100,0.210900,0.306900,0.257200,0.405900,0.426500,0.541600,0.548500,0.552300,0.596100,0.641500,0.729900,0.667300,0.929500,0.991900
50,0.430874,0.754900,0.198600,0.305100,0.251300,0.401000,0.439900,0.530200,0.560700,0.566600,0.611000,0.639700,0.723200,0.646400,0.933100,0.989400
60,0.434968,0.792400,0.177500,0.306500,0.236300,0.397900,0.431200,0.571200,0.566400,0.586900,0.630400,0.624300,0.729400,0.620900,0.935500,0.986600
70,0.437457,0.789200,0.172100,0.295700,0.252200,0.379700,0.449500,0.574100,0.561200,0.576100,0.626200,0.644700,0.729200,0.623600,0.939800,0.990100
80,0.434539,0.804100,0.161200,0.275000,0.243100,0.393700,0.434700,0.587800,0.543800,0.588200,0.642000,0.630200,0.727800,0.620900,0.945500,0.988700
90,0.434760,0.776200,0.167500,0.267800,0.225300,0.376900,0.414300,0.583300,0.579900,0.585900,0.636300,0.622400,0.728900,0.628000,0.945000,0.987900
100,0.435867,0.814800,0.164400,0.260400,0.235900,0.396100,0.424300,0.600400,0.598500,0.594300,0.626900,0.620200,0.731000,0.603100,0.935200,0.987900
110,0.430673,0.815700,0.166600,0.247500,0.201300,0.426700,0.394900,0.629000,0.591200,0.590400,0.640900,0.632800,0.710100,0.611400,0.952500,0.988100
120,0.432817,0.790100,0.166300,0.257400,0.227300,0.419300,0.402200,0.642200,0.586700,0.586600,0.642200,0.633000,0.723600,0.617500,0.947900,0.988600
130,0.436861,0.800300,0.147200,0.267900,0.230600,0.406400,0.431100,0.629800,0.570500,0.595400,0.611500,0.627500,0.728800,0.618400,0.938300,0.986100
140,0.435687,0.797700,0.145900,0.277000,0.223100,0.424600,0.433700,0.624200,0.605700,0.587200,0.633000,0.639900,0.732100,0.575100,0.936700,0.989500
150,0.434711,0.799200,0.140600,0.270400,0.217900,0.456700,0.455200,0.620800,0.615300,0.608000,0.631400,0.629700,0.746200,0.549400,0.942700,0.987500
160,0.437014,0.783300,0.163300,0.254700,0.196900,0.438700,0.464500,0.616700,0.602300,0.592500,0.658600,0.625300,0.725100,0.560000,0.952500,0.988300
170,0.436991,0.811700,0.152200,0.241500,0.185100,0.388200,0.458700,0.638100,0.593200,0.578600,0.660800,0.613900,0.725100,0.583700,0.937200,0.988900
180,0.434802,0.804700,0.147400,0.239400,0.191000,0.414300,0.460100,0.623100,0.590400,0.563400,0.660400,0.602600,0.771800,0.572000,0.945700,0.987200
190,0.441319,0.811100,0.141800,0.261300,0.181700,0.447400,0.479800,0.620900,0.566600,0.550300,0.670200,0.581700,0.777900,0.564700,0.946200,0.989300
Comparison: Pure SHC,0.243990

